Expert 1,Expert 2,Expert 3,Expert 4,color_cam_path,side_cam_path,Rfid,Pos,average_expert,expert_binary,plant_width_side_view,plant_height_side_view,plant_area_side_view,plant_width_top_view,plant_height_top_view,plant_area_top_view
1,1,1,1,"C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00397 Plant 0010 Plant 0010/18-02-2019 -- 12.33.27,668_Cam_06.png","C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00397 Plant 0010 Plant 0010/18-02-2019 -- 12.33.27,668_Cam_03.png",A1,Plant 0010,1.0,1,475,520,46335,520,588,30490
1,1,1,1,"C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00398 Plant 0011 Plant 0011/18-02-2019 -- 12.43.58,310_Cam_06.png","C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00398 Plant 0011 Plant 0011/18-02-2019 -- 12.43.58,310_Cam_03.png",A1,Plant 0011,1.0,1,519,642,29437,580,589,64736
1,1,1,1,"C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00399 Plant 0012 Plant 0012/18-02-2019 -- 12.44.05,890_Cam_06.png","C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00399 Plant 0012 Plant 0012/18-02-2019 -- 12.44.05,890_Cam_03.png",A1,Plant 0012,1.0,1,469,469,31297,590,730,99034
3,1,1,1,"C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00400 Plant 0013 Plant 0013/18-02-2019 -- 12.44.11,456_Cam_06.png","C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00400 Plant 0013 Plant 0013/18-02-2019 -- 12.44.11,456_Cam_03.png",A1,Plant 0013,1.5,1,680,413,33055,545,788,85896
4,4,4,4,"C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00401 Plant 0014 Plant 0014/18-02-2019 -- 12.44.17,140_Cam_06.png","C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00401 Plant 0014 Plant 0014/18-02-2019 -- 12.44.17,140_Cam_03.png",A1,Plant 0014,4.0,0,63,244,8472,274,406,18209
1,1,1,1,"C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00402 Plant 0015 Plant 0015/18-02-2019 -- 12.44.23,394_Cam_06.png","C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00402 Plant 0015 Plant 0015/18-02-2019 -- 12.44.23,394_Cam_03.png",A1,Plant 0015,1.0,1,710,493,47299,625,842,98692
3,3,3,3,"C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00403 Plant 0016 Plant 0016/18-02-2019 -- 12.44.29,434_Cam_06.png","C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00403 Plant 0016 Plant 0016/18-02-2019 -- 12.44.29,434_Cam_03.png",A1,Plant 0016,3.0,0,106,304,15428,285,334,23020
1,1,1,1,"C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00404 Plant 0017 Plant 0017/18-02-2019 -- 12.44.35,842_Cam_06.png","C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00404 Plant 0017 Plant 0017/18-02-2019 -- 12.44.35,842_Cam_03.png",A1,Plant 0017,1.0,1,540,426,35477,578,405,55848
1,1,1,1,"C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00405 Plant 0018 Plant 0018/18-02-2019 -- 12.44.42,270_Cam_06.png","C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00405 Plant 0018 Plant 0018/18-02-2019 -- 12.44.42,270_Cam_03.png",A1,Plant 0018,1.0,1,483,483,50594,566,549,71306
1,1,1,1,"C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00406 Plant 0019 Plant 0019/18-02-2019 -- 12.44.51,380_Cam_06.png","C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00406 Plant 0019 Plant 0019/18-02-2019 -- 12.44.51,380_Cam_03.png",A1,Plant 0019,1.0,1,455,654,34319,609,693,93355
2,2,2,2,"C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00407 Plant 0020 Plant 0020/18-02-2019 -- 12.44.57,094_Cam_06.png","C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00407 Plant 0020 Plant 0020/18-02-2019 -- 12.44.57,094_Cam_03.png",A1,Plant 0020,2.0,1,323,369,16562,391,597,44302
2,1,1,1,"C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00408 Plant 0021 Plant 0021/18-02-2019 -- 12.45.47,576_Cam_06.png","C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00408 Plant 0021 Plant 0021/18-02-2019 -- 12.45.47,576_Cam_03.png",A1,Plant 0021,1.25,1,427,535,52662,415,658,64524
4,4,3,3,"C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00409 Plant 0022 Plant 0022/18-02-2019 -- 12.45.53,469_Cam_06.png","C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00409 Plant 0022 Plant 0022/18-02-2019 -- 12.45.53,469_Cam_03.png",A1,Plant 0022,3.5,0,71,267,9668,144,230,11145
1,1,1,1,"C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00410 Plant 0023 Plant 0023/18-02-2019 -- 12.46.00,710_Cam_06.png","C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00410 Plant 0023 Plant 0023/18-02-2019 -- 12.46.00,710_Cam_03.png",A1,Plant 0023,1.0,1,545,465,37426,588,806,95072
1,1,1,1,"C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00411 Plant 0024 Plant 0024/18-02-2019 -- 12.46.06,707_Cam_06.png","C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00411 Plant 0024 Plant 0024/18-02-2019 -- 12.46.06,707_Cam_03.png",A1,Plant 0024,1.0,1,364,400,35438,475,566,52833
2,1,1,1,"C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00412 Plant 0025 Plant 0025/18-02-2019 -- 12.46.12,360_Cam_06.png","C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00412 Plant 0025 Plant 0025/18-02-2019 -- 12.46.12,360_Cam_03.png",A1,Plant 0025,1.25,1,368,371,15490,567,435,63474
2,3,3,3,"C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00413 Plant 0026 Plant 0026/18-02-2019 -- 12.46.17,319_Cam_06.png","C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00413 Plant 0026 Plant 0026/18-02-2019 -- 12.46.17,319_Cam_03.png",A1,Plant 0026,2.75,0,188,316,12096,364,390,30988
1,1,1,1,"C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00414 Plant 0027 Plant 0027/18-02-2019 -- 12.46.22,274_Cam_06.png","C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00414 Plant 0027 Plant 0027/18-02-2019 -- 12.46.22,274_Cam_03.png",A1,Plant 0027,1.0,1,577,403,42328,577,699,49639
2,1,2,1,"C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00415 Plant 0028 Plant 0028/18-02-2019 -- 12.46.27,463_Cam_06.png","C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00415 Plant 0028 Plant 0028/18-02-2019 -- 12.46.27,463_Cam_03.png",A1,Plant 0028,1.5,1,315,297,12597,601,314,56778
1,2,2,2,"C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00416 Plant 0029 Plant 0029/18-02-2019 -- 12.46.32,736_Cam_06.png","C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00416 Plant 0029 Plant 0029/18-02-2019 -- 12.46.32,736_Cam_03.png",A1,Plant 0029,1.75,1,270,385,27088,273,471,16650
1,1,1,1,"C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00417 Plant 0030 Plant 0030/18-02-2019 -- 12.46.38,328_Cam_06.png","C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00417 Plant 0030 Plant 0030/18-02-2019 -- 12.46.38,328_Cam_03.png",A1,Plant 0030,1.0,1,519,355,33392,391,419,41765
4,4,4,4,"C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00418 Plant 0031 Plant 0031/18-02-2019 -- 12.46.43,411_Cam_06.png","C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00418 Plant 0031 Plant 0031/18-02-2019 -- 12.46.43,411_Cam_03.png",A1,Plant 0031,4.0,0,68,254,9271,226,400,14880
1,1,1,1,"C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00419 Plant 0032 Plant 0032/18-02-2019 -- 12.47.01,059_Cam_06.png","C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00419 Plant 0032 Plant 0032/18-02-2019 -- 12.47.01,059_Cam_03.png",A1,Plant 0032,1.0,1,515,509,46953,626,636,62479
2,2,2,2,"C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00420 Plant 0033 Plant 0033/18-02-2019 -- 12.47.07,654_Cam_06.png","C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00420 Plant 0033 Plant 0033/18-02-2019 -- 12.47.07,654_Cam_03.png",A1,Plant 0033,2.0,1,92,320,4337,421,482,52737
3,3,3,3,"C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00421 Plant 0034 Plant 0034/18-02-2019 -- 12.47.13,161_Cam_06.png","C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00421 Plant 0034 Plant 0034/18-02-2019 -- 12.47.13,161_Cam_03.png",A1,Plant 0034,3.0,0,307,229,5692,358,333,29323
1,1,1,1,"C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00422 Plant 0035 Plant 0035/18-02-2019 -- 12.47.17,820_Cam_06.png","C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00422 Plant 0035 Plant 0035/18-02-2019 -- 12.47.17,820_Cam_03.png",A1,Plant 0035,1.0,1,354,466,31744,664,493,67345
2,3,3,3,"C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00423 Plant 0036 Plant 0036/18-02-2019 -- 12.47.22,714_Cam_06.png","C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00423 Plant 0036 Plant 0036/18-02-2019 -- 12.47.22,714_Cam_03.png",A1,Plant 0036,2.75,0,395,306,11536,281,461,31528
1,1,2,1,"C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00424 Plant 0037 Plant 0037/18-02-2019 -- 12.47.27,891_Cam_06.png","C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00424 Plant 0037 Plant 0037/18-02-2019 -- 12.47.27,891_Cam_03.png",A1,Plant 0037,1.25,1,359,335,22019,540,464,48539
3,3,3,3,"C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00425 Plant 0038 Plant 0038/18-02-2019 -- 12.47.33,126_Cam_06.png","C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00425 Plant 0038 Plant 0038/18-02-2019 -- 12.47.33,126_Cam_03.png",A1,Plant 0038,3.0,0,80,258,9316,301,417,16874
1,1,1,1,"C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00426 Plant 0039 Plant 0039/18-02-2019 -- 12.47.38,277_Cam_06.png","C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00426 Plant 0039 Plant 0039/18-02-2019 -- 12.47.38,277_Cam_03.png",A1,Plant 0039,1.0,1,370,381,34628,469,364,23335
3,3,3,3,"C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00427 Plant 0040 Plant 0040/18-02-2019 -- 12.47.42,889_Cam_06.png","C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00427 Plant 0040 Plant 0040/18-02-2019 -- 12.47.42,889_Cam_03.png",A1,Plant 0040,3.0,0,124,206,8476,290,192,11503
