Expert 1,Expert 2,Expert 3,Expert 4,color_cam_path,side_cam_path,Rfid,Pos
4,4,3,3,"A1/00440 Plant 0053 Plant 0053/18-02-2019 -- 12.49.26,791_Cam_06.png","A1/00440 Plant 0053 Plant 0053/18-02-2019 -- 12.49.26,791_Cam_03.png",A1,Plant 0053
3,3,3,3,"A1/00441 Plant 0054 Plant 0054/18-02-2019 -- 12.49.32,857_Cam_06.png","A1/00441 Plant 0054 Plant 0054/18-02-2019 -- 12.49.32,857_Cam_03.png",A1,Plant 0054
1,1,1,1,"A1/00442 Plant 0055 Plant 0055/18-02-2019 -- 12.49.39,604_Cam_06.png","A1/00442 Plant 0055 Plant 0055/18-02-2019 -- 12.49.39,604_Cam_03.png",A1,Plant 0055
1,1,1,1,"A1/00443 Plant 0056 Plant 0056/18-02-2019 -- 12.49.45,700_Cam_06.png","A1/00443 Plant 0056 Plant 0056/18-02-2019 -- 12.49.45,700_Cam_03.png",A1,Plant 0056
2,3,3,3,"A1/00444 Plant 0057 Plant 0057/18-02-2019 -- 12.49.51,382_Cam_06.png","A1/00444 Plant 0057 Plant 0057/18-02-2019 -- 12.49.51,382_Cam_03.png",A1,Plant 0057
3,3,3,3,"A1/00445 Plant 0058 Plant 0058/18-02-2019 -- 12.49.57,126_Cam_06.png","A1/00445 Plant 0058 Plant 0058/18-02-2019 -- 12.49.57,126_Cam_03.png",A1,Plant 0058
1,1,1,1,"A1/00446 Plant 0059 Plant 0059/18-02-2019 -- 12.50.02,303_Cam_06.png","A1/00446 Plant 0059 Plant 0059/18-02-2019 -- 12.50.02,303_Cam_03.png",A1,Plant 0059
1,1,1,1,"A1/00447 Plant 0060 Plant 0060/18-02-2019 -- 12.50.07,659_Cam_06.png","A1/00447 Plant 0060 Plant 0060/18-02-2019 -- 12.50.07,659_Cam_03.png",A1,Plant 0060
4,4,4,4,"A1/00448 Plant 0061 Plant 0061/18-02-2019 -- 12.50.12,660_Cam_06.png","A1/00448 Plant 0061 Plant 0061/18-02-2019 -- 12.50.12,660_Cam_03.png",A1,Plant 0061
1,1,1,1,"A1/00449 Plant 0062 Plant 0062/18-02-2019 -- 12.50.19,191_Cam_06.png","A1/00449 Plant 0062 Plant 0062/18-02-2019 -- 12.50.19,191_Cam_03.png",A1,Plant 0062
2,2,2,2,"A1/00450 Plant 0063 Plant 0063/18-02-2019 -- 12.50.39,711_Cam_06.png","A1/00450 Plant 0063 Plant 0063/18-02-2019 -- 12.50.39,711_Cam_03.png",A1,Plant 0063
4,4,4,4,"A1/00451 Plant 0064 Plant 0064/18-02-2019 -- 12.50.45,116_Cam_06.png","A1/00451 Plant 0064 Plant 0064/18-02-2019 -- 12.50.45,116_Cam_03.png",A1,Plant 0064
1,1,1,1,"A1/00452 Plant 0065 Plant 0065/18-02-2019 -- 12.50.52,433_Cam_06.png","A1/00452 Plant 0065 Plant 0065/18-02-2019 -- 12.50.52,433_Cam_03.png",A1,Plant 0065
1,1,1,1,"A1/00453 Plant 0066 Plant 0066/18-02-2019 -- 12.50.58,052_Cam_06.png","A1/00453 Plant 0066 Plant 0066/18-02-2019 -- 12.50.58,052_Cam_03.png",A1,Plant 0066
1,1,1,1,"A1/00454 Plant 0067 Plant 0067/18-02-2019 -- 12.51.03,923_Cam_06.png","A1/00454 Plant 0067 Plant 0067/18-02-2019 -- 12.51.03,923_Cam_03.png",A1,Plant 0067
3,3,3,3,"A1/00455 Plant 0068 Plant 0068/18-02-2019 -- 12.51.11,169_Cam_06.png","A1/00455 Plant 0068 Plant 0068/18-02-2019 -- 12.51.11,169_Cam_03.png",A1,Plant 0068
3,3,3,3,"A1/00456 Plant 0069 Plant 0069/18-02-2019 -- 12.51.16,550_Cam_06.png","A1/00456 Plant 0069 Plant 0069/18-02-2019 -- 12.51.16,550_Cam_03.png",A1,Plant 0069
1,1,1,1,"A1/00457 Plant 0070 Plant 0070/18-02-2019 -- 12.51.21,956_Cam_06.png","A1/00457 Plant 0070 Plant 0070/18-02-2019 -- 12.51.21,956_Cam_03.png",A1,Plant 0070
1,1,1,1,"A1/00458 Plant 0071 Plant 0071/18-02-2019 -- 12.51.27,734_Cam_06.png","A1/00458 Plant 0071 Plant 0071/18-02-2019 -- 12.51.27,734_Cam_03.png",A1,Plant 0071
1,1,1,1,"A1/00459 Plant 0072 Plant 0072/18-02-2019 -- 12.51.33,698_Cam_06.png","A1/00459 Plant 0072 Plant 0072/18-02-2019 -- 12.51.33,698_Cam_03.png",A1,Plant 0072
2,2,3,3,"A1/00460 Plant 0073 Plant 0073/18-02-2019 -- 12.51.39,444_Cam_06.png","A1/00460 Plant 0073 Plant 0073/18-02-2019 -- 12.51.39,444_Cam_03.png",A1,Plant 0073
2,1,2,2,"A1/00461 Plant 0074 Plant 0074/18-02-2019 -- 12.52.15,527_Cam_06.png","A1/00461 Plant 0074 Plant 0074/18-02-2019 -- 12.52.15,527_Cam_03.png",A1,Plant 0074
1,1,1,1,"A1/00462 Plant 0075 Plant 0075/18-02-2019 -- 12.52.21,494_Cam_06.png","A1/00462 Plant 0075 Plant 0075/18-02-2019 -- 12.52.21,494_Cam_03.png",A1,Plant 0075
1,1,1,1,"A1/00463 Plant 0076 Plant 0076/18-02-2019 -- 12.52.26,610_Cam_06.png","A1/00463 Plant 0076 Plant 0076/18-02-2019 -- 12.52.26,610_Cam_03.png",A1,Plant 0076
1,1,1,1,"A1/00464 Plant 0077 Plant 0077/18-02-2019 -- 12.52.31,930_Cam_06.png","A1/00464 Plant 0077 Plant 0077/18-02-2019 -- 12.52.31,930_Cam_03.png",A1,Plant 0077
3,3,3,3,"A1/00465 Plant 0078 Plant 0078/18-02-2019 -- 12.52.37,012_Cam_06.png","A1/00465 Plant 0078 Plant 0078/18-02-2019 -- 12.52.37,012_Cam_03.png",A1,Plant 0078
1,1,1,1,"A1/00466 Plant 0079 Plant 0079/18-02-2019 -- 12.52.42,105_Cam_06.png","A1/00466 Plant 0079 Plant 0079/18-02-2019 -- 12.52.42,105_Cam_03.png",A1,Plant 0079
1,1,1,1,"A1/00467 Plant 0080 Plant 0080/18-02-2019 -- 12.52.48,561_Cam_06.png","A1/00467 Plant 0080 Plant 0080/18-02-2019 -- 12.52.48,561_Cam_03.png",A1,Plant 0080
1,1,1,1,"A1/00468 Plant 0081 Plant 0081/18-02-2019 -- 12.52.53,718_Cam_06.png","A1/00468 Plant 0081 Plant 0081/18-02-2019 -- 12.52.53,718_Cam_03.png",A1,Plant 0081
1,1,1,1,"A1/00469 Plant 0082 Plant 0082/18-02-2019 -- 12.52.58,744_Cam_06.png","A1/00469 Plant 0082 Plant 0082/18-02-2019 -- 12.52.58,744_Cam_03.png",A1,Plant 0082
2,2,3,2,"A1/00470 Plant 0083 Plant 0083/18-02-2019 -- 12.53.04,971_Cam_06.png","A1/00470 Plant 0083 Plant 0083/18-02-2019 -- 12.53.04,971_Cam_03.png",A1,Plant 0083
1,1,1,1,"A1/00471 Plant 0084 Plant 0084/18-02-2019 -- 12.53.35,294_Cam_06.png","A1/00471 Plant 0084 Plant 0084/18-02-2019 -- 12.53.35,294_Cam_03.png",A1,Plant 0084
1,1,1,1,"A1/00472 Plant 0085 Plant 0085/18-02-2019 -- 12.53.46,628_Cam_06.png","A1/00472 Plant 0085 Plant 0085/18-02-2019 -- 12.53.46,628_Cam_03.png",A1,Plant 0085
1,1,1,1,"A1/00473 Plant 0086 Plant 0086/18-02-2019 -- 12.53.56,966_Cam_06.png","A1/00473 Plant 0086 Plant 0086/18-02-2019 -- 12.53.56,966_Cam_03.png",A1,Plant 0086
3,3,3,3,"A1/00474 Plant 0087 Plant 0087/18-02-2019 -- 12.54.02,608_Cam_06.png","A1/00474 Plant 0087 Plant 0087/18-02-2019 -- 12.54.02,608_Cam_03.png",A1,Plant 0087
1,1,1,1,"A1/00475 Plant 0088 Plant 0088/18-02-2019 -- 12.54.09,403_Cam_06.png","A1/00475 Plant 0088 Plant 0088/18-02-2019 -- 12.54.09,403_Cam_03.png",A1,Plant 0088
1,1,1,1,"A1/00476 Plant 0089 Plant 0089/18-02-2019 -- 12.54.15,639_Cam_06.png","A1/00476 Plant 0089 Plant 0089/18-02-2019 -- 12.54.15,639_Cam_03.png",A1,Plant 0089
2,1,1,1,"A1/00477 Plant 0090 Plant 0090/18-02-2019 -- 12.54.21,542_Cam_06.png","A1/00477 Plant 0090 Plant 0090/18-02-2019 -- 12.54.21,542_Cam_03.png",A1,Plant 0090
2,1,1,1,"A1/00478 Plant 0091 Plant 0091/18-02-2019 -- 12.54.26,788_Cam_06.png","A1/00478 Plant 0091 Plant 0091/18-02-2019 -- 12.54.26,788_Cam_03.png",A1,Plant 0091
3,3,3,3,"A1/00479 Plant 0092 Plant 0092/18-02-2019 -- 12.54.32,651_Cam_06.png","A1/00479 Plant 0092 Plant 0092/18-02-2019 -- 12.54.32,651_Cam_03.png",A1,Plant 0092
1,1,2,1,"A1/00480 Plant 0093 Plant 0093/18-02-2019 -- 12.54.37,728_Cam_06.png","A1/00480 Plant 0093 Plant 0093/18-02-2019 -- 12.54.37,728_Cam_03.png",A1,Plant 0093
1,1,1,1,"A1/00481 Plant 0094 Plant 0094/18-02-2019 -- 12.54.43,863_Cam_06.png","A1/00481 Plant 0094 Plant 0094/18-02-2019 -- 12.54.43,863_Cam_03.png",A1,Plant 0094
1,1,1,1,"A1/00482 Plant 0095 Plant 0095/18-02-2019 -- 12.55.17,428_Cam_06.png","A1/00482 Plant 0095 Plant 0095/18-02-2019 -- 12.55.17,428_Cam_03.png",A1,Plant 0095
1,1,1,1,"A1/00483 Plant 0096 Plant 0096/18-02-2019 -- 12.55.24,389_Cam_06.png","A1/00483 Plant 0096 Plant 0096/18-02-2019 -- 12.55.24,389_Cam_03.png",A1,Plant 0096
1,1,1,1,"A1/00484 Plant 0097 Plant 0097/18-02-2019 -- 12.55.31,394_Cam_06.png","A1/00484 Plant 0097 Plant 0097/18-02-2019 -- 12.55.31,394_Cam_03.png",A1,Plant 0097
4,4,4,4,"A1/00485 Plant 0098 Plant 0098/18-02-2019 -- 12.55.39,081_Cam_06.png","A1/00485 Plant 0098 Plant 0098/18-02-2019 -- 12.55.39,081_Cam_03.png",A1,Plant 0098
1,2,2,2,"A1/00486 Plant 0099 Plant 0099/18-02-2019 -- 12.55.46,099_Cam_06.png","A1/00486 Plant 0099 Plant 0099/18-02-2019 -- 12.55.46,099_Cam_03.png",A1,Plant 0099
1,1,1,1,"A1/00487 Plant 0100 Plant 0100/18-02-2019 -- 12.55.53,823_Cam_06.png","A1/00487 Plant 0100 Plant 0100/18-02-2019 -- 12.55.53,823_Cam_03.png",A1,Plant 0100
2,1,2,1,"A1/00488 Plant 0101 Plant 0101/18-02-2019 -- 12.56.00,212_Cam_06.png","A1/00488 Plant 0101 Plant 0101/18-02-2019 -- 12.56.00,212_Cam_03.png",A1,Plant 0101
1,1,1,1,"A1/00489 Plant 0102 Plant 0102/18-02-2019 -- 12.56.06,081_Cam_06.png","A1/00489 Plant 0102 Plant 0102/18-02-2019 -- 12.56.06,081_Cam_03.png",A1,Plant 0102
1,1,1,1,"A1/00490 Plant 0103 Plant 0103/18-02-2019 -- 12.56.11,656_Cam_06.png","A1/00490 Plant 0103 Plant 0103/18-02-2019 -- 12.56.11,656_Cam_03.png",A1,Plant 0103
1,1,1,1,"A1/00491 Plant 0104 Plant 0104/18-02-2019 -- 12.56.18,066_Cam_06.png","A1/00491 Plant 0104 Plant 0104/18-02-2019 -- 12.56.18,066_Cam_03.png",A1,Plant 0104
1,1,1,1,"A1/00492 Plant 0105 Plant 0105/18-02-2019 -- 12.56.36,098_Cam_06.png","A1/00492 Plant 0105 Plant 0105/18-02-2019 -- 12.56.36,098_Cam_03.png",A1,Plant 0105
3,3,3,3,"A1/00493 Plant 0106 Plant 0106/18-02-2019 -- 12.56.42,344_Cam_06.png","A1/00493 Plant 0106 Plant 0106/18-02-2019 -- 12.56.42,344_Cam_03.png",A1,Plant 0106
1,1,1,1,"A1/00494 Plant 0107 Plant 0107/18-02-2019 -- 12.56.48,157_Cam_06.png","A1/00494 Plant 0107 Plant 0107/18-02-2019 -- 12.56.48,157_Cam_03.png",A1,Plant 0107
1,1,1,1,"A1/00495 Plant 0108 Plant 0108/18-02-2019 -- 12.56.53,523_Cam_06.png","A1/00495 Plant 0108 Plant 0108/18-02-2019 -- 12.56.53,523_Cam_03.png",A1,Plant 0108
3,3,3,3,"A1/00496 Plant 0109 Plant 0109/18-02-2019 -- 12.56.59,695_Cam_06.png","A1/00496 Plant 0109 Plant 0109/18-02-2019 -- 12.56.59,695_Cam_03.png",A1,Plant 0109
1,1,1,1,"A1/00497 Plant 0110 Plant 0110/18-02-2019 -- 12.57.06,629_Cam_06.png","A1/00497 Plant 0110 Plant 0110/18-02-2019 -- 12.57.06,629_Cam_03.png",A1,Plant 0110
3,3,3,3,"A1/00498 Plant 0111 Plant 0111/18-02-2019 -- 12.57.12,307_Cam_06.png","A1/00498 Plant 0111 Plant 0111/18-02-2019 -- 12.57.12,307_Cam_03.png",A1,Plant 0111
3,3,3,3,"A1/00499 Plant 0112 Plant 0112/18-02-2019 -- 12.57.18,018_Cam_06.png","A1/00499 Plant 0112 Plant 0112/18-02-2019 -- 12.57.18,018_Cam_03.png",A1,Plant 0112
1,1,1,1,"A1/00500 Plant 0113 Plant 0113/18-02-2019 -- 12.57.23,882_Cam_06.png","A1/00500 Plant 0113 Plant 0113/18-02-2019 -- 12.57.23,882_Cam_03.png",A1,Plant 0113
1,1,1,1,"A1/00501 Plant 0114 Plant 0114/18-02-2019 -- 12.57.31,014_Cam_06.png","A1/00501 Plant 0114 Plant 0114/18-02-2019 -- 12.57.31,014_Cam_03.png",A1,Plant 0114
1,1,1,1,"A1/00502 Plant 0115 Plant 0115/18-02-2019 -- 12.57.37,398_Cam_06.png","A1/00502 Plant 0115 Plant 0115/18-02-2019 -- 12.57.37,398_Cam_03.png",A1,Plant 0115
3,3,3,3,"A1/00503 Plant 0116 Plant 0116/18-02-2019 -- 12.57.55,616_Cam_06.png","A1/00503 Plant 0116 Plant 0116/18-02-2019 -- 12.57.55,616_Cam_03.png",A1,Plant 0116
1,1,1,1,"A1/00504 Plant 0117 Plant 0117/18-02-2019 -- 12.58.01,582_Cam_06.png","A1/00504 Plant 0117 Plant 0117/18-02-2019 -- 12.58.01,582_Cam_03.png",A1,Plant 0117
1,1,1,1,"A1/00505 Plant 0118 Plant 0118/18-02-2019 -- 12.58.07,244_Cam_06.png","A1/00505 Plant 0118 Plant 0118/18-02-2019 -- 12.58.07,244_Cam_03.png",A1,Plant 0118
1,1,1,1,"A1/00506 Plant 0119 Plant 0119/18-02-2019 -- 12.58.13,294_Cam_06.png","A1/00506 Plant 0119 Plant 0119/18-02-2019 -- 12.58.13,294_Cam_03.png",A1,Plant 0119
1,1,1,1,"A1/00507 Plant 0120 Plant 0120/18-02-2019 -- 12.58.19,637_Cam_06.png","A1/00507 Plant 0120 Plant 0120/18-02-2019 -- 12.58.19,637_Cam_03.png",A1,Plant 0120
1,1,1,1,"A1/00508 Plant 0121 Plant 0121/18-02-2019 -- 12.58.25,069_Cam_06.png","A1/00508 Plant 0121 Plant 0121/18-02-2019 -- 12.58.25,069_Cam_03.png",A1,Plant 0121
1,1,1,1,"A1/00509 Plant 0122 Plant 0122/18-02-2019 -- 12.58.31,101_Cam_06.png","A1/00509 Plant 0122 Plant 0122/18-02-2019 -- 12.58.31,101_Cam_03.png",A1,Plant 0122
4,4,4,4,"A1/00510 Plant 0123 Plant 0123/18-02-2019 -- 12.58.36,133_Cam_06.png","A1/00510 Plant 0123 Plant 0123/18-02-2019 -- 12.58.36,133_Cam_03.png",A1,Plant 0123
1,1,1,1,"A1/00511 Plant 0124 Plant 0124/18-02-2019 -- 12.58.43,609_Cam_06.png","A1/00511 Plant 0124 Plant 0124/18-02-2019 -- 12.58.43,609_Cam_03.png",A1,Plant 0124
